transaction,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
1,DEBIT,7414,C446504763,151707,144293,C1854925027,3.90E+07,3.99E+07,0
2,DEBIT,2899.2,C757752441,0,0,C1854925027,3.90E+07,3.90E+07,0
3,CASH_OUT,17447.35,C1004533006,0,0,C1620573488,3.44E+07,3.50E+07,0
4,CASH_OUT,477.53,C23579491,0,0,C356023140,3.38E+07,3.38E+07,0
5,CASH_IN,18184.97,C861745646,6101058.91,6119243.88,C356023140,3.38E+07,3.38E+07,0
6,CASH_OUT,15642.8,C1301714060,141132,125489.2,C161550987,3.36E+07,3.37E+07,0
7,CASH_OUT,16984.37,C565426486,0,0,C356023140,3.21E+07,3.36E+07,0
8,DEBIT,6422.63,C2044700801,1675,0,C803116137,3.27E+07,3.30E+07,0
9,CASH_IN,6784.52,C1141640765,99734,106518.52,C896393489,3.16E+07,3.18E+07,0
10,CASH_OUT,17967.65,C1402078717,0,0,C1883840933,3.15E+07,3.16E+07,0
11,CASH_OUT,19660.1,C386442672,0,0,C232169897,3.16E+07,3.15E+07,0
12,CASH_OUT,3225.87,C1129565274,15357,12131.13,C936857833,2.99E+07,3.13E+07,0
13,CASH_OUT,14248.18,C1143940235,25347,11098.82,C586106859,3.07E+07,3.08E+07,0
14,CASH_OUT,4314.03,C819018762,329140.75,324826.71,C1383605612,3.04E+07,3.04E+07,0
15,CASH_IN,1371.97,C2039644867,227,1598.97,C891089759,11369,3.03E+07,0
16,DEBIT,16270.31,C304862524,10847,0,C231532874,2.97E+07,2.97E+07,0
17,CASH_IN,18271.08,C685187617,3458556.41,3476827.5,C834808790,2.94E+07,2.94E+07,0
18,CASH_OUT,15871.42,C225967302,10673,0,C1424595534,2.92E+07,2.92E+07,0
19,DEBIT,6997.14,C1302941252,0,0,C1790228342,2.93E+07,2.92E+07,0
20,CASH_IN,2611.69,C1082189298,4299606.64,4302218.33,C620247281,2.91E+07,2.91E+07,0
21,CASH_OUT,19398.73,C1149314849,0,0,C1671616840,2.82E+07,2.82E+07,0
22,CASH_OUT,7776.34,C139413534,49907,42130.66,C1671616840,2.82E+07,2.82E+07,0
23,CASH_OUT,19449.17,C1944712383,52643.72,33194.55,C1301633449,2.81E+07,2.81E+07,0
24,CASH_OUT,16987.63,C1944026242,31284,14296.37,C936857833,448,2.81E+07,0
25,CASH_OUT,1099.86,C1143576131,0,0,C1328187730,2.78E+07,2.78E+07,0
26,CASH_OUT,6191.81,C1847099506,9037,2845.19,C935808590,2.78E+07,2.78E+07,0
27,DEBIT,1257.48,C1366849299,24767,23509.52,C1472140329,2.77E+07,2.77E+07,0
28,CASH_OUT,8316.07,C1626249834,0,0,C1156597903,2.75E+07,2.76E+07,0
29,CASH_OUT,12255.95,C661671275,0,0,C347696158,2.76E+07,2.76E+07,0
30,CASH_IN,318.61,C1021564140,2.49E+07,2.49E+07,C347696158,2.76E+07,2.76E+07,0
31,CASH_IN,19689.52,C519612156,7573253.83,7592943.36,C1791724427,2.59E+07,2.76E+07,1
32,CASH_OUT,8689.68,C1450713951,262,0,C1791724427,2.64E+07,2.76E+07,0
33,CASH_IN,17439.94,C2026284262,5624664.04,5642103.98,C737481695,2.71E+07,2.75E+07,0
34,CASH_IN,15023.61,C1060529974,1.99E+07,1.99E+07,C327052591,2.74E+07,2.74E+07,0
35,CASH_IN,13072.6,C1590416633,884557.95,897630.55,C327052591,52651,2.74E+07,0
36,CASH_IN,12401.25,C362376208,7165536.77,7177938.02,C327052591,39578.4,2.74E+07,0
37,CASH_IN,12218.01,C1054595156,1.13E+07,1.13E+07,C992147268,2.74E+07,2.73E+07,0
38,CASH_OUT,16598.9,C1296437250,0,0,C1982516353,2.73E+07,2.73E+07,0
39,CASH_OUT,7951.39,C102081954,10415,2463.61,C1982516353,2.68E+07,2.73E+07,0
40,CASH_OUT,5419.24,C530856830,0,0,C1277941741,2.72E+07,2.72E+07,0
41,TRANSFER,5259.58,C1253863856,613545,608285.42,C737481695,2.71E+07,2.71E+07,0
42,CASH_OUT,12749.77,C1759840948,0,0,C935808590,2.65E+07,2.65E+07,0
43,CASH_OUT,12915.85,C622632578,46623,33707.15,C936788251,2.64E+07,2.64E+07,0
44,CASH_IN,6163.89,C134310395,7897150.18,7903314.06,C936788251,2.64E+07,2.64E+07,0
45,CASH_IN,17192.76,C1929642257,5788971.15,5806163.92,C1407928233,2.64E+07,2.64E+07,0
46,CASH_OUT,14738.82,C45177285,218337,203598.18,C1647955152,73491.93,2.63E+07,0
47,DEBIT,3836.07,C739157803,87217,83380.93,C2067070452,2.63E+07,2.63E+07,0
48,DEBIT,1844,C1762584602,25430.56,23586.57,C85708464,2.59E+07,2.63E+07,0
49,DEBIT,6269.03,C1580390456,21824.03,15554.99,C239031696,2.63E+07,2.63E+07,0
50,TRANSFER,11896.28,C1172438274,0,0,C1141137903,2.62E+07,2.62E+07,0
51,CASH_IN,9880.39,C1039403820,25745,35625.39,C1590550415,2.64E+07,2.62E+07,0
52,DEBIT,4231.15,C260135229,0,0,C1460381692,2.61E+07,2.61E+07,0
53,CASH_OUT,10990.6,C1684726071,4064,0,C1982516353,2.59E+07,2.61E+07,0
54,CASH_OUT,16641.17,C166536511,35639,18997.83,C214774813,2.61E+07,2.61E+07,0
55,CASH_OUT,1926,C739656998,0,0,C214774813,2.61E+07,2.61E+07,0
56,DEBIT,277.05,C1171970176,148211,147933.95,C1141137903,2.12E+07,2.59E+07,0
57,CASH_IN,10714.6,C1108291990,2.19E+07,2.19E+07,C1141137903,2.12E+07,2.59E+07,0
58,CASH_IN,9240.96,C1334090778,3495080.96,3504321.92,C1579862569,2.59E+07,2.58E+07,0
59,CASH_IN,15072.22,C1540880228,786881.21,801953.43,C1701706347,2.57E+07,2.57E+07,0
60,DEBIT,120.97,C774190249,6821,6700.03,C761176386,2.56E+07,2.56E+07,0
61,CASH_OUT,19787.97,C1497529776,0,0,C1757599079,2.54E+07,2.54E+07,0
62,CASH_OUT,1814.81,C85743233,181816,180001.19,C1176912109,2.53E+07,2.53E+07,0
63,DEBIT,951.57,C1390688766,0,0,C913895919,2.52E+07,2.52E+07,0
64,CASH_OUT,5572.78,C74439073,34735.3,29162.52,C2118785931,19883,2.51E+07,0
65,CASH_IN,1429.05,C187419319,121805.89,123234.94,C332920895,2.37E+07,2.51E+07,0
66,CASH_IN,18531.03,C777226265,1.10E+07,1.10E+07,C666300015,2.35E+07,2.51E+07,0
67,CASH_IN,13174.6,C1276029166,3794697.73,3807872.32,C1360767589,2.49E+07,2.49E+07,0
68,DEBIT,2457.19,C628527372,0,0,C1265642416,2.48E+07,2.48E+07,0
69,CASH_OUT,10221.8,C1733432019,31260,21038.2,C617337339,2.45E+07,2.47E+07,0
70,DEBIT,2976.62,C1123650672,181571,178594.38,C735186749,2.44E+07,2.46E+07,0
71,CASH_OUT,6613.2,C2091633689,21291,14677.8,C928094130,2.45E+07,2.44E+07,0
72,CASH_OUT,4233.48,C1889167100,5088,854.52,C1265642416,2.44E+07,2.44E+07,0
73,CASH_OUT,16036.36,C2091573683,0,0,C268913927,2.42E+07,2.43E+07,0
74,CASH_IN,14034.56,C1494436283,0,14034.56,C268913927,2.42E+07,2.41E+07,0
75,CASH_IN,14848.46,C574989221,2.12E+07,2.12E+07,C537080973,2.40E+07,2.40E+07,0
76,CASH_OUT,2466.34,C19677275,9405,6938.66,C2042633527,2.39E+07,2.39E+07,0
77,DEBIT,1150.13,C256772378,11049,9898.87,C214774813,2.37E+07,2.38E+07,0
78,CASH_IN,15337.89,C601336510,186591,201928.89,C214774813,2.37E+07,2.38E+07,0
79,CASH_OUT,1161.24,C2039615897,0,0,C2123455914,2.32E+07,2.36E+07,0
80,CASH_IN,15307.42,C1435269333,9924494.34,9939801.76,C2123455914,2.32E+07,2.36E+07,0
81,CASH_OUT,775.19,C1840758761,0,0,C505864940,2.36E+07,2.36E+07,0
82,DEBIT,4650.37,C2102905052,5598,947.63,C2123455914,2.36E+07,2.36E+07,0
83,CASH_IN,10450.96,C249959762,1.13E+07,1.13E+07,C667346055,2.35E+07,2.35E+07,0
84,CASH_IN,13023.22,C110591994,6898284.3,6911307.52,C680794026,2.35E+07,2.35E+07,0
85,CASH_OUT,18823.7,C1714417431,0,0,C1499004362,2.33E+07,2.33E+07,0
86,CASH_OUT,11724.28,C2046464282,0,0,C1255024717,2.31E+07,2.33E+07,0
87,DEBIT,5943.09,C817207379,0,0,C1407928233,2.33E+07,2.33E+07,1
88,CASH_OUT,15406.87,C905660398,0,0,C1889395764,2.29E+07,2.32E+07,0
89,CASH_OUT,11813.38,C1222689091,0,0,C97730845,2.02E+07,2.30E+07,0
90,CASH_OUT,16677.85,C1852309048,21617.25,4939.4,C514597582,2.30E+07,2.30E+07,0
91,CASH_IN,352.85,C122038168,707044.72,707397.57,C680794026,2.29E+07,2.29E+07,1
92,CASH_IN,11460.37,C549976841,0,11460.37,C1284449291,2.28E+07,2.28E+07,0
93,CASH_OUT,18810.03,C1492361856,0,0,C1368361600,2.27E+07,2.27E+07,0
94,CASH_IN,5871.14,C1500432616,931525.01,937396.15,C793864212,2.22E+07,2.27E+07,0
