Age,Pay Rate,State,Zip,Sex,MaritalDesc,CitizenDesc,Hispanic/Latino,RaceDesc,Days Employed,Reason For Term,Employment Status,Department,Position,Manager Name,Employee Source,Performance Score
30,28.5,MA,1450,Female,Married,US Citizen,No,Black or African American,3317,N/A - still employed,Active,Admin Offices,Accountant I,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets
34,23.0,MA,1460,Male,Divorced,US Citizen,No,Black or African American,1420,N/A - still employed,Active,Admin Offices,Accountant I,Brandon R. LeBlanc,Website Banner Ads,Fully Meets
31,29.0,MA,2703,Male,Single,US Citizen,No,White,1154,N/A - still employed,Active,Admin Offices,Accountant I,Brandon R. LeBlanc,Internet Search,Fully Meets
32,21.5,MA,2170,Female,Married,US Citizen,No,White,58,N/A - still employed,Active,Admin Offices,Administrative Assistant,Brandon R. LeBlanc,Pay Per Click - Google,N/A- too early to review
30,16.56,MA,2330,Female,Single,US Citizen,No,White,940,N/A - still employed,Active,Admin Offices,Administrative Assistant,Brandon R. LeBlanc,Website Banner Ads,N/A- too early to review
30,20.5,MA,1844,Female,Married,US Citizen,No,Asian,730,career change,Voluntarily Terminated,Admin Offices,Administrative Assistant,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets
33,55.0,MA,1460,Male,Married,US Citizen,No,White,691,N/A - still employed,Active,Admin Offices,Shared Services Manager,Janet King,Monster.com,Fully Meets
33,55.0,MA,2045,Male,Married,Eligible NonCitizen,No,Black or African American,1636,career change,Voluntarily Terminated,Admin Offices,Shared Services Manager,Janet King,Diversity Job Fair,Fully Meets
31,34.95,MA,2468,Female,Married,US Citizen,No,Asian,1014,N/A - still employed,Active,Admin Offices,Sr. Accountant,Brandon R. LeBlanc,Diversity Job Fair,90-day meets
39,34.95,MA,2050,Female,Married,US Citizen,no,White,3247,N/A - still employed,Active,Admin Offices,Sr. Accountant,Board of Directors,Other,Fully Meets
63,80.0,MA,1902,Female,Married,US Citizen,Yes,White,1973,N/A - still employed,Active,Executive Office,President & CEO,Board of Directors,Pay Per Click - Google,Fully Meets
38,65.0,MA,2067,Female,Single,US Citizen,No,White,2787,N/A - still employed,Active,IT/IS,CIO,Janet King,Employee Referral,Exceptional
32,43.0,MA,2026,Female,Single,US Citizen,Yes,White,432,performance,Terminated for Cause,IT/IS,Database Administrator,Simon Roup,Search Engine - Google Bing Yahoo,Fully Meets
46,48.5,MA,2127,Female,Single,US Citizen,No,White,27,"no-call, no-show",Terminated for Cause,IT/IS,Database Administrator,Simon Roup,Glassdoor,Fully Meets
31,40.1,MA,1960,Male,Married,US Citizen,No,Black or African American,6,"no-call, no-show",Terminated for Cause,IT/IS,Database Administrator,Simon Roup,Employee Referral,N/A- too early to review
34,34.0,MA,2493,Female,Single,US Citizen,No,White,972,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Glassdoor,N/A- too early to review
31,40.0,MA,2301,Female,Married,US Citizen,No,Asian,1056,N/A - still employed,Leave of Absence,IT/IS,Database Administrator,Simon Roup,Glassdoor,90-day meets
29,35.5,TX,78230,Male,Divorced,US Citizen,No,Black or African American,1112,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Diversity Job Fair,Exceptional
33,41.0,MA,2747,Male,Married,US Citizen,No,White,517,performance,Voluntarily Terminated,IT/IS,Database Administrator,Simon Roup,Employee Referral,Fully Meets
33,42.75,MA,1886,Female,Married,US Citizen,No,Asian,1112,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,Exceptional
36,39.55,MA,1886,Female,Married,US Citizen,No,White,1014,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,Fully Meets
31,42.2,MA,1810,Male,Married,US Citizen,No,White,972,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Pay Per Click - Google,N/A- too early to review
30,45.0,MA,2452,Male,Divorced,US Citizen,No,Black or African American,299,hours,Voluntarily Terminated,IT/IS,Database Administrator,Simon Roup,Vendor Referral,90-day meets
48,30.2,MA,2110,Male,Married,US Citizen,Yes,White,1056,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,90-day meets
39,31.4,MA,2148,Female,Single,US Citizen,No,White,972,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,90-day meets
37,65.0,MA,1460,Male,Single,US Citizen,No,Black or African American,2417,N/A - still employed,Active,IT/IS,IT Director,Jennifer Zamora,Professional Society,Exceptional
45,62.0,MA,2481,Male,Single,US Citizen,No,White,1771,N/A - still employed,Active,IT/IS,IT Manager - DB,Jennifer Zamora,Professional Society,Fully Meets
54,21.0,MA,1915,Male,Divorced,US Citizen,No,Two or more races,1395,hours,Voluntarily Terminated,IT/IS,IT Manager - DB,Jennifer Zamora,Diversity Job Fair,Fully Meets
31,63.0,MA,2134,Male,Married,Eligible NonCitizen,Yes,Hispanic,2111,N/A - still employed,Active,IT/IS,IT Manager - Infra,Jennifer Zamora,Diversity Job Fair,Needs Improvement
47,64.0,MA,1886,Male,Single,US Citizen,No,White,1421,N/A - still employed,Active,IT/IS,IT Manager - Support,Jennifer Zamora,Professional Society,Exceeds
32,28.99,MA,2170,Male,Single,US Citizen,No,White,1908,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Glassdoor,Fully Meets
49,31.4,CT,6040,Female,Single,US Citizen,No,White,2766,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Vendor Referral,Fully Meets
29,26.0,CT,6070,Female,Single,US Citizen,Yes,Two or more races,2501,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Diversity Job Fair,Exceeds
45,27.49,MA,2360,Female,Married,US Citizen,No,Black or African American,2361,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Information Session,Fully Meets
30,45.0,MA,1886,Male,Divorced,US Citizen,No,White,1056,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Glassdoor,90-day meets
28,42.0,MA,2135,Male,Married,US Citizen,Yes,White,972,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Information Session,N/A- too early to review
29,37.0,MA,2119,Female,Married,US Citizen,No,White,1056,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Employee Referral,90-day meets
37,39.0,MA,2472,Female,Separated,US Citizen,Yes,White,1056,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Employee Referral,Fully Meets
30,43.0,MA,2138,Male,Single,US Citizen,No,White,972,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Vendor Referral,N/A- too early to review
39,27.0,MA,2048,Female,Married,US Citizen,No,White,1014,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Monster.com,Fully Meets
37,47.0,MA,1773,Female,Married,US Citizen,No,White,1153,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Vendor Referral,Fully Meets
30,28.0,MA,1420,Male,Married,US Citizen,No,White,127,medical issues,Voluntarily Terminated,IT/IS,Network Engineer,Peter Monroe,Monster.com,Fully Meets
49,49.1,MA,2343,Male,Married,Eligible NonCitizen,No,White,972,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Employee Referral,N/A- too early to review
43,62.0,MA,2148,Male,Married,US Citizen,No,White,444,career change,Voluntarily Terminated,IT/IS,Sr. DBA,Simon Roup,Company Intranet - Partner,Fully Meets
31,61.3,MA,1886,Female,Single,US Citizen,No,Black or African American,514,N/A - Has not started yet,Future Start,IT/IS,Sr. DBA,Simon Roup,Vendor Referral,N/A- too early to review
53,58.2,CT,6033,Male,Single,US Citizen,No,Black or African American,732,hours,Terminated for Cause,IT/IS,Sr. DBA,Simon Roup,Vendor Referral,Fully Meets
45,58.5,MA,2703,Female,Single,US Citizen,Yes,White,309,Another position,Voluntarily Terminated,IT/IS,Sr. DBA,Simon Roup,Vendor Referral,90-day meets
66,54.1,CT,6033,Female,Married,US Citizen,No,White,1112,N/A - still employed,Leave of Absence,IT/IS,Sr. Network Engineer,Peter Monroe,Vendor Referral,Fully Meets
32,56.2,MA,2169,Male,Married,US Citizen,No,White,1112,N/A - still employed,Leave of Absence,IT/IS,Sr. Network Engineer,Peter Monroe,Employee Referral,Fully Meets
35,53.8,MA,1545,Male,Married,US Citizen,No,Asian,514,N/A - Has not started yet,Future Start,IT/IS,Sr. Network Engineer,Peter Monroe,On-campus Recruiting,N/A- too early to review
52,53.0,CT,6278,Male,Single,US Citizen,No,White,1112,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Employee Referral,90-day meets
40,55.2,MA,2453,Female,Widowed,US Citizen,No,Asian,972,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Employee Referral,N/A- too early to review
35,60.0,MA,2030,Female,Single,US Citizen,No,Black or African American,3247,N/A - still employed,Active,Production       ,Director of Operations,Janet King,Other,Exceeds
49,54.5,MA,2169,Male,Divorced,US Citizen,No,White,2309,N/A - still employed,Active,Production       ,Production Manager,Janet King,Employee Referral,Fully Meets
