"Customer Loyalty ID","Gender","Geographic Region","Loyalty Status","Neigborhood Cluster-55 Level","Neighborhood Cluster-7 Level","Television Region","Affluence Grade","Age","Frequency","Frequency Percent","Loyalty Card Tenure","Organics Purchase Count","Organics Purchase Indicator","Total Spend"
"0000000140","U","Midlands","Gold","16","C","Wales & West","10","76","1","0.00%","4","0","0","16000"
"0000000620","U","Midlands","Gold","35","D","Wales & West","4","49","1","0.00%","5","0","0","6000"
"0000000868","F","Midlands","Silver","27","D","Wales & West","5","70","1","0.00%","8","1","1","0.02"
"0000001120","M","Midlands","Tin","51","F","Midlands","10","65","1","0.00%","7","1","1","0.01"
"0000002313","F","Midlands","Tin","04","A","Midlands","11","68","1","0.00%","8","0","0","0.01"
"0000002771","U","North","Platinum","28","D","N West","9","72","1","0.00%","3","0","0","20759.81"
"0000003131","F","Midlands","Tin","03","A","East","11","74","1","0.00%","8","0","0","0.01"
"0000003328","M","North","Tin","32","D","N East","13","62","1","0.00%","5","0","0","0.01"
"0000004529","M","Midlands","Silver","49","F","East","10","62","1","0.00%","3","0","0","2038.76"
"0000005886","F","","Gold","49","F","","14","43","1","0.00%","1","1","1","6000"
"0000007420","F","North","Gold","52","F","N East","7","60","1","0.00%","2","0","0","11000"
"0000009814","M","South East","Silver","24","C","London","5",".","1","0.00%","1","1","1","5000"
"0000010006","F","Midlands","Silver","52","F","Midlands","9","51","1","0.00%","11","0","0","300"
"0000010219","F","South East","Tin","19","C","S & S East","6","64","1","0.00%","9","0","0","0.01"
"0000010812","F","South East","Tin","18","C","London","16","37","1","0.00%","4","2","1","0.01"
"0000011207","M","Midlands","Silver","28","D","Midlands","8","54","1","0.00%","1","0","0","1420"
"0000011932","F","Midlands","Gold","15","B","Midlands","5","70","1","0.00%","8","0","0","6104.66"
"0000014656","F","Midlands","Tin","19","C","East",".","42","1","0.00%","5","1","1","0.01"
"0000015350","F","Scottish","Tin","40","E","C Scotland","7",".","1","0.00%","5","1","1","0.01"
"0000017302","","South East","Tin","28","D","London","7","49","1","0.00%","7","0","0","0.01"
"0000019496","F","Midlands","Silver","49","F","Midlands","9","66","1","0.00%","12","0","0","500"
"0000019763","F","Midlands","Gold","08","B","Wales & West","9","74","1","0.00%","2","0","0","6000"
"0000020478","","Midlands","Gold","37","E","East","6","70","1","0.00%","2","0","0","16000"
"0000020761","M","South East","Silver","30","D","S & S East","7","66","1","0.00%","5","0","0","1000"
"0000023124","F","South East","Tin","27","D","London","6","46","1","0.00%","8","0","0","0.01"
"0000024554","M","Midlands","Tin","","","Ulster","10","39","1","0.00%","5","0","0","0.01"
"0000024880","M","Midlands","Silver","12","B","East","7","75","1","0.00%","7","0","0","4000"
"0000026387","F","Midlands","Silver","","","Ulster",".","72","1","0.00%","23","1","1","1250"
"0000027715","M","North","Tin","53","F","N West","7","43","1","0.00%","5","1","1","0.01"
"0000029173","F","Midlands","Gold","24","C","Wales & West","7","62","1","0.00%","4","0","0","20000"
"0000029440","M","South West","Silver","05","B","S West","8","37","1","0.00%","9","1","1","1000"
"0000030600","F","South East","Tin","48","F","London","9","49","1","0.00%","8","0","0","0.01"
"0000030937","","North","Gold","32","D","N East","8","79","1","0.00%","1","0","0","6000"
"0000039330","M","Midlands","Tin","50","F","East",".",".","1","0.00%","4","0","0","0.01"
"0000041092","F","Midlands","Gold","35","D","East","3","50","1","0.00%","3","0","0","9800"
"0000041475","M","South East","Tin","28","D","London",".","66","1","0.00%","11","0","0","0.01"
"0000042439","F","Midlands","Silver","19","C","Wales & West","15","35","1","0.00%","5","1","1","1630"
"0000045799","F","Midlands","Silver","14","B","Wales & West","10","71","1","0.00%","5","0","0","1500"
"0000046906","F","North","Silver","51","F","N West","7","44","1","0.00%","1","0","0","1000"
"0000050237","M","North","Tin","15","B","N East","8","42","1","0.00%","5","0","0","0.01"
"0000051950","F","South West","Gold","08","B","S West","9","68","1","0.00%","5","1","1","6053.25"
"0000054496","F","North","Tin","32","D","Yorkshire","9","31","1","0.00%","4","0","0","0.01"
"0000056073","F","South East","Gold","12","B","London","8","70","1","0.00%","15","0","0","19053.82"
"0000057002","F","North","Platinum","38","E","N East","7","72","1","0.00%","3","0","0","20526.96"
"0000057622","M","Midlands","Tin","","","East","12","41","1","0.00%","9","0","0","0.01"
"0000059056","F","North","Gold","52","F","N East","9","37","1","0.00%","1","1","1","6000"
"0000059862","F","North","Gold","24","C","N West","8","58","1","0.00%","7","0","0","10053.35"
"0000063002","F","South East","Silver","31","D","London","7","47","1","0.00%","5","0","0","0.02"
"0000063983","M","Midlands","Silver","37","E","East","8","71","1","0.00%","6","0","0","1000"
"0000071986","F","Midlands","Silver","27","D","Midlands","8","62","1","0.00%","5","1","1","1000"
"0000072559","U","Midlands","Gold","37","E","Midlands","15","72","1","0.00%","12","0","0","6340.26"
"0000073148","F","Midlands","Silver","44","E","Midlands","8","39","1","0.00%","4","1","1","2241.36"
"0000075205","M","Midlands","Gold","34","D","Wales & West","6","76","1","0.00%","19","0","0","12000"
"0000075469","F","Scottish","Gold","11","B","Border","7","61","1","0.00%","11","1","1","6000"
"0000080322","","Midlands","Tin","32","D","Midlands","6","53","1","0.00%","5","0","0","0.01"
"0000080608","M","North","Silver","22","C","Yorkshire","8","60","1","0.00%","11","1","1","60"
"0000082678","F","South East","Tin","52","F","London","15","42","1","0.00%","5","1","1","0.01"
"0000083852","F","South East","Silver","04","A","London","13",".","1","0.00%","4","0","0","5000"
"0000084573","F","Midlands","Silver","38","E","Midlands","10","57","1","0.00%","11","0","0","50"
"0000087750","M","Midlands","Tin","51","F","Midlands","6","45","1","0.00%","4","0","0","0.01"
"0000089796","F","Midlands","Silver","12","B","East","11","75","1","0.00%","8","1","1","3052.66"
"0000091588","F","North","Tin","38","E","Yorkshire","8","37","1","0.00%","5","1","1","0.01"
"0000093564","U","South West","Silver","42","E","S West","13","61","1","0.00%","8","0","0","3000"
"0000095036","F","","Silver","08","B","","12","61","1","0.00%","9","0","0","1020"
"0000095982","F","North","Tin","04","A","Yorkshire","19","39","1","0.00%","8","3","1","0.01"
"0000097802","M","Midlands","Silver","","","Ulster","7","55","1","0.00%","1","0","0","2000"
"0000102385","M","Scottish","Gold","08","B","C Scotland","8","57","1","0.00%","9","0","0","9000"
"0000103225","F","South East","Gold","22","C","S & S East","13","18","1","0.00%","1","0","0","6000"
"0000108413","U","North","Silver","01","A","N West","5","56","1","0.00%","8","0","0","3000"
"0000109819","F","North","Gold","27","D","N East","9","50","1","0.00%","4","0","0","20000"
"0000113743","F","North","Silver","51","F","N West",".","54","1","0.00%","2","0","0","2000"
"0000117498","U","North","Platinum","15","B","N East","11","67","1","0.00%","8","0","0","22000"
"0000118397","F","Midlands","Silver","37","E","Midlands","7","78","1","0.00%","24","0","0","2000"
"0000121312","F","Midlands","Tin","19","C","Midlands","5","61","1","0.00%","5","0","0","0.01"
"0000121495","","South East","Silver","14","B","London","5","45","1","0.00%","11","0","0","600"
"0000124710","F","South East","Silver","01","A","London","11","66","1","0.00%","5","0","0","2000"
"0000126098","U","North","Gold","24","C","Yorkshire","2","51","1","0.00%","5","0","0","10000"
"0000126586","F","Midlands","Gold","18","C","Midlands","3",".","1","0.00%","1","0","0","15000"
"0000127892","","North","Silver","12","B","N West","10","60","1","0.00%","9","0","0","1020"
"0000129283","M","Midlands","Silver","19","C","East","9","48","1","0.00%","2","0","0","3000"
"0000129410","F","South East","Silver","24","C","S & S East","8","53","1","0.00%","1","0","0","100"
"0000134872","U","Midlands","Gold","45","E","Midlands","10","72","1","0.00%","8","1","1","12000"
"0000140597","F","South East","Tin","41","E","London","9","68","1","0.00%","7","0","0","0.01"
"0000144649","F","Scottish","Tin","01","A","N Scot","8","47","1","0.00%","5","0","0","0.01"
"0000145157","F","South East","Silver","40","E","London","11","39","1","0.00%","1","1","1","2800"
"0000146730","F","South East","Tin","04","A","London","12","72","1","0.00%","8","0","0","0.01"
"0000148415","M","South East","Gold","40","E","London","10","67","1","0.00%","4","0","0","6000"
"0000148849","F","South East","Tin","25","C","London","9","60","1","0.00%","8","0","0","0.01"
"0000151432","M","North","Gold","30","D","Yorkshire","6",".","1","0.00%","3","0","0","9000"
"0000154040","M","North","Tin","52","F","N West","11","52","1","0.00%","9","0","0","0.01"
"0000156515","F","Midlands","Tin","27","D","Midlands","7","55","1","0.00%","8","0","0","0.01"
"0000158216","M","South East","Gold","","","S & S East","14","65","1","0.00%","6","0","0","6053.35"
