id,purchase_id,product_id,price,quantity,state
2,1,3,27.99,1,Delivered
3,1,8,108.00,1,Delivered
4,2,1,9.99,2,Delivered
5,3,12,9.99,1,Delivered
6,3,17,14.99,4,Delivered
7,3,11,9.99,1,Delivered
8,4,4,7.99,3,Delivered
9,5,18,14.99,1,Delivered
10,5,2,29.99,4,Delivered
11,6,5,5.99,1,Delivered
12,7,6,499.99,3,Returned
13,8,10,529.00,1,Delivered
14,8,7,899.99,1,Delivered
15,9,15,9.99,2,Delivered
16,10,2,29.99,1,Delivered
17,11,9,499.00,2,Delivered
18,12,14,9.99,5,Delivered
19,12,10,529.00,1,Delivered
20,13,8,108.00,1,Delivered
21,14,20,14.99,1,Delivered
22,14,7,899.99,1,Delivered
23,14,9,499.00,1,Delivered
24,15,10,529.00,2,Delivered
25,16,2,29.99,1,Delivered
26,16,11,9.99,1,Delivered
27,16,5,5.99,1,Delivered
28,17,15,9.99,2,Delivered
29,18,4,7.99,2,Delivered
30,19,1,9.99,1,Returned
31,19,7,899.99,1,Returned
32,19,9,499.00,1,Returned
33,20,20,14.99,5,Delivered
34,21,13,9.99,3,Delivered
35,21,20,14.99,1,Delivered
36,22,7,899.99,1,Delivered
37,22,4,7.99,1,Delivered
38,22,15,9.99,1,Delivered
39,23,4,7.99,1,Delivered
40,24,4,7.99,2,Delivered
41,25,14,9.99,4,Delivered
42,25,12,9.99,1,Delivered
43,26,12,9.99,2,Delivered
44,26,6,499.99,1,Delivered
45,26,4,7.99,1,Delivered
46,27,11,9.99,1,Delivered
47,28,9,499.00,1,Delivered
48,29,8,108.00,1,Delivered
49,29,10,529.00,1,Delivered
50,30,13,9.99,1,Delivered
51,31,2,29.99,2,Delivered
52,32,16,14.99,1,Delivered
53,32,19,14.99,2,Delivered
54,33,9,499.00,1,Delivered
55,34,16,14.99,1,Delivered
56,34,1,9.99,1,Delivered
57,35,6,499.99,1,Returned
58,36,3,27.99,1,Delivered
59,36,20,14.99,4,Delivered
60,37,14,9.99,1,Delivered
61,38,10,529.00,1,Returned
62,39,2,29.99,2,Delivered
63,40,17,14.99,1,Delivered
64,41,12,9.99,1,Delivered
65,42,14,9.99,2,Delivered
66,43,6,499.99,2,Delivered
67,43,3,27.99,1,Delivered
68,44,10,529.00,4,Delivered
69,44,3,27.99,4,Delivered
70,45,12,9.99,1,Delivered
71,46,7,899.99,1,Delivered
72,47,12,9.99,2,Delivered
73,48,3,27.99,4,Delivered
74,49,6,499.99,1,Delivered
75,49,20,14.99,1,Delivered
76,50,8,108.00,1,Delivered
77,51,7,899.99,1,Pending
78,52,9,499.00,1,Delivered
79,53,16,14.99,1,Delivered
80,54,16,14.99,2,Delivered
81,55,4,7.99,1,Delivered
82,55,15,9.99,1,Delivered
83,55,19,14.99,5,Delivered
84,56,14,9.99,1,Delivered
85,57,3,27.99,3,Delivered
86,58,9,499.00,4,Delivered
87,58,16,14.99,1,Delivered
88,59,1,9.99,2,Delivered
89,60,1,9.99,2,Delivered
90,61,2,29.99,2,Delivered
91,61,15,9.99,3,Delivered
92,62,14,9.99,5,Delivered
93,63,6,499.99,1,Delivered
94,64,20,14.99,1,Delivered
95,65,15,9.99,1,Returned
96,66,12,9.99,1,Delivered
97,67,11,9.99,2,Returned
98,68,11,9.99,3,Pending
99,69,12,9.99,2,Delivered
100,70,4,7.99,1,Delivered
101,71,12,9.99,2,Delivered
102,71,15,9.99,1,Delivered
103,71,14,9.99,1,Delivered
104,72,12,9.99,1,Returned
105,73,7,899.99,1,Delivered
106,73,2,29.99,2,Delivered
107,74,2,29.99,1,Delivered
108,75,16,14.99,1,Returned
109,75,7,899.99,1,Returned
110,76,16,14.99,2,Pending
111,76,15,9.99,1,Pending
112,76,18,14.99,1,Pending
113,77,10,529.00,5,Delivered
114,78,5,5.99,1,Delivered
115,79,6,499.99,1,Delivered
116,79,7,899.99,1,Delivered
117,80,13,9.99,1,Delivered
118,80,17,14.99,5,Delivered
119,81,13,9.99,2,Delivered
120,82,1,9.99,1,Delivered
121,82,13,9.99,1,Delivered
122,83,14,9.99,1,Delivered
123,84,20,14.99,1,Delivered
124,85,12,9.99,1,Delivered
125,85,7,899.99,1,Delivered
126,86,15,9.99,1,Delivered
127,87,17,14.99,2,Delivered
128,88,3,27.99,1,Delivered
129,89,8,108.00,1,Delivered
130,89,20,14.99,1,Delivered
131,89,10,529.00,1,Delivered
132,90,6,499.99,5,Delivered
133,90,1,9.99,1,Delivered
134,91,17,14.99,2,Delivered
135,92,8,108.00,1,Delivered
136,92,12,9.99,1,Delivered
137,93,2,29.99,1,Delivered
138,93,7,899.99,2,Delivered
139,94,6,499.99,2,Delivered
140,95,8,108.00,5,Delivered
141,95,9,499.00,1,Delivered
142,96,4,7.99,2,Delivered
143,96,16,14.99,1,Delivered
144,97,7,899.99,1,Delivered
145,98,14,9.99,5,Delivered
146,99,17,14.99,1,Delivered
147,100,17,14.99,1,Delivered
148,101,19,14.99,1,Delivered
149,102,17,14.99,1,Delivered
150,102,18,14.99,1,Delivered
151,102,8,108.00,1,Delivered
152,103,13,9.99,1,Delivered
153,103,15,9.99,3,Delivered
154,104,3,27.99,1,Delivered
155,105,4,7.99,1,Delivered
156,106,18,14.99,1,Delivered
157,107,6,499.99,2,Delivered
158,107,19,14.99,1,Delivered
159,107,16,14.99,1,Delivered
160,108,16,14.99,1,Delivered
161,109,7,899.99,2,Delivered
162,109,6,499.99,1,Delivered
163,109,16,14.99,4,Delivered
164,110,2,29.99,1,Delivered
165,110,9,499.00,2,Delivered
166,111,17,14.99,1,Delivered
167,112,17,14.99,2,Delivered
168,113,8,108.00,1,Delivered
169,114,5,5.99,3,Delivered
170,115,5,5.99,1,Delivered
171,116,17,14.99,2,Delivered
172,117,13,9.99,1,Delivered
173,118,11,9.99,1,Delivered
174,119,9,499.00,1,Delivered
175,119,9,499.00,1,Delivered
176,120,19,14.99,1,Delivered
177,121,11,9.99,2,Delivered
178,122,20,14.99,1,Delivered
179,122,8,108.00,3,Delivered
180,122,13,9.99,1,Delivered
181,123,19,14.99,3,Delivered
182,123,1,9.99,2,Delivered
183,124,7,899.99,1,Delivered
184,125,17,14.99,1,Delivered
185,126,12,9.99,3,Delivered
186,126,3,27.99,1,Delivered
187,127,14,9.99,1,Delivered
188,128,19,14.99,2,Delivered
189,128,12,9.99,1,Delivered
190,128,15,9.99,1,Delivered
191,129,15,9.99,1,Delivered
192,130,1,9.99,1,Delivered
193,130,7,899.99,2,Delivered
194,131,7,899.99,1,Returned
195,132,8,108.00,1,Delivered
196,133,2,29.99,1,Delivered
197,134,6,499.99,1,Delivered
198,134,6,499.99,1,Delivered
199,135,2,29.99,1,Delivered
200,135,1,9.99,2,Delivered
201,136,17,14.99,2,Delivered
202,136,14,9.99,1,Delivered
203,137,3,27.99,1,Delivered
204,138,11,9.99,3,Delivered
205,138,17,14.99,2,Delivered
206,139,14,9.99,1,Delivered
207,140,13,9.99,1,Delivered
208,141,7,899.99,1,Delivered
209,142,16,14.99,5,Returned
210,142,9,499.00,1,Returned
211,143,7,899.99,1,Delivered
212,143,17,14.99,1,Delivered
213,144,14,9.99,1,Delivered
214,145,12,9.99,2,Delivered
215,145,13,9.99,1,Delivered
216,145,5,5.99,1,Delivered
217,146,4,7.99,2,Delivered
218,147,2,29.99,1,Delivered
219,148,7,899.99,1,Delivered
220,148,17,14.99,5,Delivered
221,148,8,108.00,2,Delivered
222,149,18,14.99,1,Delivered
223,150,11,9.99,1,Delivered
224,151,19,14.99,2,Pending
225,152,2,29.99,1,Pending
226,153,15,9.99,2,Delivered
227,154,4,7.99,3,Delivered
228,155,4,7.99,1,Delivered
229,156,2,29.99,1,Delivered
230,156,10,529.00,1,Delivered
231,157,19,14.99,2,Delivered
232,158,5,5.99,3,Delivered
233,159,8,108.00,2,Delivered
234,159,4,7.99,3,Delivered
235,160,18,14.99,2,Delivered
236,161,19,14.99,1,Delivered
237,162,14,9.99,1,Delivered
238,162,15,9.99,1,Delivered
239,163,10,529.00,3,Delivered
240,163,3,27.99,1,Delivered
241,163,14,9.99,1,Delivered
242,164,19,14.99,1,Delivered
243,164,14,9.99,3,Delivered
244,165,15,9.99,1,Delivered
245,166,15,9.99,1,Delivered
246,167,3,27.99,1,Returned
247,168,2,29.99,1,Delivered
248,169,12,9.99,2,Delivered
249,170,12,9.99,1,Delivered
250,170,8,108.00,1,Delivered
251,170,15,9.99,2,Delivered
252,171,7,899.99,1,Delivered
253,172,11,9.99,5,Delivered
254,172,20,14.99,1,Delivered
255,173,12,9.99,1,Delivered
256,174,4,7.99,3,Delivered
257,175,18,14.99,1,Delivered
258,176,18,14.99,2,Delivered
259,177,18,14.99,1,Delivered
260,178,7,899.99,1,Delivered
261,179,5,5.99,2,Delivered
262,179,17,14.99,1,Delivered
263,179,2,29.99,1,Delivered
264,180,13,9.99,1,Delivered
265,181,3,27.99,5,Delivered
266,181,15,9.99,4,Delivered
267,181,20,14.99,2,Delivered
268,182,10,529.00,2,Delivered
269,182,13,9.99,3,Delivered
270,183,12,9.99,1,Delivered
271,183,12,9.99,1,Delivered
272,184,2,29.99,5,Pending
273,185,3,27.99,1,Delivered
274,186,17,14.99,1,Delivered
275,186,3,27.99,1,Delivered
276,187,13,9.99,1,Delivered
277,188,1,9.99,2,Delivered
278,189,14,9.99,1,Pending
279,189,10,529.00,1,Pending
280,190,13,9.99,1,Delivered
281,190,14,9.99,2,Delivered
282,190,11,9.99,5,Delivered
283,191,2,29.99,1,Delivered
284,192,5,5.99,2,Delivered
285,193,5,5.99,2,Delivered
286,194,6,499.99,4,Delivered
287,195,16,14.99,2,Delivered
288,196,11,9.99,1,Delivered
289,197,11,9.99,1,Delivered
290,198,17,14.99,1,Delivered
291,199,6,499.99,1,Delivered
292,199,15,9.99,1,Delivered
293,199,6,499.99,5,Delivered
294,200,1,9.99,1,Delivered
295,201,19,14.99,1,Pending
296,202,2,29.99,5,Delivered
297,203,16,14.99,1,Delivered
298,203,3,27.99,1,Delivered
299,204,5,5.99,1,Delivered
300,205,15,9.99,1,Delivered
301,206,12,9.99,1,Delivered
302,207,3,27.99,2,Delivered
303,208,19,14.99,1,Delivered
304,209,3,27.99,1,Delivered
305,210,15,9.99,1,Returned
306,210,12,9.99,2,Returned
